Name,Path,Position,"Is Active","Url Key",Description,Image,"Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"SHOT GLASSES","TUNGS10 root/CATEGORIES",1,Yes,shot-glasses,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CANVAS FRAME","TUNGS10 root/CATEGORIES",1,Yes,canvas-frame,,,,,,Yes,"Products only",,No,,,"No layout updates",
OFFICE,"Default Category/CATEGORIES/GIFTS & COLLECTIBLES",1,Yes,office,,,,,,Yes,"Products only",,No,,,"No layout updates",
"VISITING CARD HOLDERS","Default Category/CATEGORIES/GIFTS & COLLECTIBLES/OFFICE",1,Yes,visiting-card-holders,,,,,,Yes,"Products only",,No,,,"No layout updates",
"VISITING CARD HOLDER","TUNGS10 root/CATEGORIES",1,Yes,visiting-card-holder,,,,,,Yes,"Products only",,No,,,"No layout updates",
COMPUTERS,"Default Category/CATEGORIES/GIFTS & COLLECTIBLES",1,Yes,computers,,,,,,Yes,"Products only",,No,,,"No layout updates",
"LAPTOP SLEEVES","Default Category/CATEGORIES/GIFTS & COLLECTIBLES/COMPUTERS",1,Yes,laptop-sleeves,,,,,,Yes,"Products only",,No,,,"No layout updates",
"LAPTOP SLEEVE","TUNGS10 root/CATEGORIES",1,Yes,laptop-sleeve,,,,,,Yes,"Products only",,No,,,"No layout updates",
TRAVEL,"Default Category/CATEGORIES/GIFTS & COLLECTIBLES",1,Yes,travel,,,,,,Yes,"Products only",,No,,,"No layout updates",
FLASK,"TUNGS10 root/CATEGORIES",1,Yes,flask,,,,,,Yes,"Products only",,No,,,"No layout updates",
"MOUSE PADS","Default Category/CATEGORIES/GIFTS & COLLECTIBLES/COMPUTERS",1,Yes,mouse-pads,,,,,,Yes,"Products only",,No,,,"No layout updates",
"MOUSE PAD","TUNGS10 root/CATEGORIES",1,Yes,mouse-pad,,,,,,Yes,"Products only",,No,,,"No layout updates",
REPRODUCTION,"Default Category/CATEGORIES/ART/PRINT",1,Yes,reproduction,,,,,,Yes,"Products only",,No,,,"No layout updates",
CATEGORIES,"ART FOR EVERY HOME root",1,Yes,categories,,,,,,Yes,"Products only",,No,,,"No layout updates",
ABSTRACT,"ART FOR EVERY HOME root/CATEGORIES",1,Yes,abstract,,,,,,Yes,"Products only",,No,,,"No layout updates",
FIGURATIVE,"ART FOR EVERY HOME root/CATEGORIES",1,Yes,figurative,,,,,,Yes,"Products only",,No,,,"No layout updates",
FURNITURE,"Default Category/CATEGORIES",1,Yes,furniture,,,,,,Yes,"Products only",,No,,,"No layout updates",
"LIVING ROOM","Default Category/CATEGORIES/FURNITURE",1,Yes,living-room,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ACCENT TABLES","Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,accent-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
CATEGORIES,"MODE root",1,Yes,categories,,,,,,Yes,"Products only",,No,,,"No layout updates",
ALMIRAHS,"MODE root/CATEGORIES",1,Yes,almirahs,,,,,,Yes,"Products only",,No,,,"No layout updates",
MIRROR,"MODE root/CATEGORIES",1,Yes,mirror,,,,,,Yes,"Products only",,No,,,"No layout updates",
"COFFEE TABLES","Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,coffee-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
"COFFEE TABLES","MODE root/CATEGORIES",1,Yes,coffee-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
STOOLS,"Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,stools,,,,,,Yes,"Products only",,No,,,"No layout updates",
STOOLS,"MODE root/CATEGORIES",1,Yes,stools,,,,,,Yes,"Products only",,No,,,"No layout updates",
"HOME OFFICE","Default Category/CATEGORIES/FURNITURE",1,Yes,home-office,,,,,,Yes,"Products only",,No,,,"No layout updates",
CABINETS,"Default Category/CATEGORIES/FURNITURE/HOME OFFICE",1,Yes,cabinets,,,,,,Yes,"Products only",,No,,,"No layout updates",
CABINETS,"MODE root/CATEGORIES",1,Yes,cabinets,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ACCENT TABLES","MODE root/CATEGORIES",1,Yes,accent-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
STORAGE,"Default Category/CATEGORIES/FURNITURE",1,Yes,storage,,,,,,Yes,"Products only",,No,,,"No layout updates",
"LUGGAGE RACKS","Default Category/CATEGORIES/FURNITURE/STORAGE",1,Yes,luggage-racks,,,,,,Yes,"Products only",,No,,,"No layout updates",
"LUGGAGE RACKS","MODE root/CATEGORIES",1,Yes,luggage-racks,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ENTRY WAY","Default Category/CATEGORIES/FURNITURE",1,Yes,entry-way,,,,,,Yes,"Products only",,No,,,"No layout updates",
"STUDY TABLES","Default Category/CATEGORIES/FURNITURE/ENTRY WAY",1,Yes,study-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
"STUDY TABLES","MODE root/CATEGORIES",1,Yes,study-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
ARMCHAIRS,"Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,armchairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DINING ROOM","Default Category/CATEGORIES/FURNITURE",1,Yes,dining-room,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DINING CHAIRS","Default Category/CATEGORIES/FURNITURE/DINING ROOM",1,Yes,dining-chairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DINING CHAIRS","MODE root/CATEGORIES",1,Yes,dining-chairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
OUTDOOR,"Default Category/CATEGORIES/FURNITURE",1,Yes,outdoor,,,,,,Yes,"Products only",,No,,,"No layout updates",
CHAIRS,"Default Category/CATEGORIES/FURNITURE/OUTDOOR",1,Yes,chairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
"OUTDOOR CHAIRS","MODE root/CATEGORIES",1,Yes,outdoor-chairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
"STORAGE BOXES","Default Category/CATEGORIES/FURNITURE/STORAGE",1,Yes,storage-boxes,,,,,,Yes,"Products only",,No,,,"No layout updates",
"STORAGE BOXES","MODE root/CATEGORIES",1,Yes,storage-boxes,,,,,,Yes,"Products only",,No,,,"No layout updates",
BEDROOM,"Default Category/CATEGORIES/FURNITURE",1,Yes,bedroom,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BEDSIDE TABLES","Default Category/CATEGORIES/FURNITURE/BEDROOM",1,Yes,bedside-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BEDSIDE TABLES","MODE root/CATEGORIES",1,Yes,bedside-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
"STORAGE TRUNKS","Default Category/CATEGORIES/FURNITURE/STORAGE",1,Yes,storage-trunks,,,,,,Yes,"Products only",,No,,,"No layout updates",
"STORAGE TRUNKS","MODE root/CATEGORIES",1,Yes,storage-trunks,,,,,,Yes,"Products only",,No,,,"No layout updates",
"KITCHEN STORAGE","Default Category/CATEGORIES/FURNITURE/DINING ROOM",1,Yes,kitchen-storage,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BOOKCASES & SHELVES","Default Category/CATEGORIES/FURNITURE/STORAGE",1,Yes,bookcases-&-shelves,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BOOK SHELVES","MODE root/CATEGORIES",1,Yes,book-shelves,,,,,,Yes,"Products only",,No,,,"No layout updates",
VASES,"Default Category/CATEGORIES/DECOR AND FURNISHINGS/CANDLES & VASES",1,Yes,vases,,,,,,Yes,"Products only",,No,,,"No layout updates",
"GIFT ITEMS","MODE root/CATEGORIES",1,Yes,gift-items,,,,,,Yes,"Products only",,No,,,"No layout updates",
"TABLE & TASK LAMPS","Default Category/CATEGORIES/LIGHTING",1,Yes,table-&-task-lamps,,,,,,Yes,"Products only",,No,,,"No layout updates",
LIGHTING,"MODE root/CATEGORIES",1,Yes,lighting,,,,,,Yes,"Products only",,No,,,"No layout updates",
"PHOTO FRAMES","Default Category/CATEGORIES/DECOR AND FURNISHINGS/HOME ACCESSORIES",1,Yes,photo-frames,,,,,,Yes,"Products only",,No,,,"No layout updates",
PHOTOFRAME,"MODE root/CATEGORIES",1,Yes,photoframe,,,,,,Yes,"Products only",,No,,,"No layout updates",
CLOCKS,"Default Category/CATEGORIES/DECOR AND FURNISHINGS",1,Yes,clocks,,,,,,Yes,"Products only",,No,,,"No layout updates",
CLOCK,"MODE root/CATEGORIES",1,Yes,clock,,,,,,Yes,"Products only",,No,,,"No layout updates",
"WALL DECOR","Default Category/CATEGORIES/DECOR AND FURNISHINGS",1,Yes,wall-decor,,,,,,Yes,"Products only",,No,,,"No layout updates",
"WALL HANGINGS","Default Category/CATEGORIES/DECOR AND FURNISHINGS/WALL DECOR",1,Yes,wall-hangings,,,,,,Yes,"Products only",,No,,,"No layout updates",
"TABLE ACCESSORIES","Default Category/CATEGORIES/DINING",1,Yes,table-accessories,,,,,,Yes,"Products only",,No,,,"No layout updates",
COASTERS,"Default Category/CATEGORIES/DINING/TABLE ACCESSORIES",1,Yes,coasters,,,,,,Yes,"Products only",,No,,,"No layout updates",
SOFAS,"Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,sofas,,,,,,Yes,"Products only",,No,,,"No layout updates",
SOFAS,"MODE root/CATEGORIES",1,Yes,sofas,,,,,,Yes,"Products only",,No,,,"No layout updates",
CATEGORIES,"CREDENCE HOMES root",1,Yes,categories,,,,,,Yes,"Products only",,No,,,"No layout updates",
"COFFEE TABLES","CREDENCE HOMES root/CATEGORIES",1,Yes,coffee-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
OTTOMANS,"Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,ottomans,,,,,,Yes,"Products only",,No,,,"No layout updates",
POUFFES,"CREDENCE HOMES root/CATEGORIES",1,Yes,pouffes,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CONSOLE TABLES","Default Category/CATEGORIES/FURNITURE/ENTRY WAY",1,Yes,console-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CONSOLE TABLES","CREDENCE HOMES root/CATEGORIES",1,Yes,console-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
